headline,article_url,article_title,article_content,published_date
America’s legal system is confusing. Here are some of the common terms used in the Trump lawsuits,https://apnews.com/article/trump-lawsuits-definitions-legal-terms-glossary-ce28a2ef1493990e9f9de1776f30dba4,N/A,N/A,N/A
"Trump plans to announce the US will call the Persian Gulf the Arabian Gulf, officials tell AP",https://apnews.com/article/trump-persian-gulf-saudi-arabia-ce30874c27bc01426d93ad3c65a18844,N/A,N/A,N/A
"Ground Game: Trump team projects calm, Thune’s ‘old fashioned’ approach, and Bukele to visit the White House",https://apnews.com/newsletter/ground-game/april-14-2025,"Ground Game: Trump team projects calm, Thune’s ‘old fashioned’ approach, and Bukele to visit the White House","This newsletter was originally sent out via email to our Ground Game subscribers on April 14. You can subscribe at any time at apnews.com/newsletters. By Meg Kinnard April 14, 2025 08:06:43 AM We take a look at the Trump administration’s economic messaging after another week of reeling markets that saw the president reverse course on some of his steepest tariffs. Welcome to this week’s edition of AP Ground Game. Policy changes, but facts endure. AP delivers accurate, fact-based journalism to keep the world informed in every administration. Support independent reporting today. Donate. THE HEADLINES President Donald Trump gestures to reporters as he walks on the South Lawn of the White House in Washington, Sunday. (AP Photo/Jose Luis Magana) Trump team tries to project confidence and calm after tariff moves While his team was out defending his proposals on Sunday, Trump said on his social media platform that there ultimately will be no exemptions for his sweeping tariff agenda, disputing characterizations that he has granted tariff exceptions for certain electronics, including smartphones, whose production is concentrated in China. Rather, Trump said, “those products are subject to the existing 20% Fentanyl Tariffs, and they are just moving to a different Tariff ‘bucket.’” A week ago, Trump’s team stood by his promise to leave the impending tariffs in place without exceptions. They used their latest news show appearances to defend his move to ratchet back to a 10% universal tariff for most nations except China (145%), while seeming to grant exemptions for certain electronics like smartphones, laptops, hard drives, flat-panel monitors and semiconductor chips. Last week on CBS’ “Face the Nation,” Commerce Secretary Howard Lutnick played up national security. “You’ve got to realize this is a national security issue,” he said, raising the worst-case scenarios of what could happen if the U.S. were involved in a war. On Sunday, Lutnick stuck to that national security framing, but White House trade adviser Peter Navarro focused more on the import taxes being leverage in the bigger economic puzzle. “The world cheats us. They’ve been cheating us for decades,” Navarro said on NBC’s “Meet the Press.” He cited practices such as dumping products at unfairly low prices, currency manipulation and barriers to U.S. auto and agricultural products entering foreign markets. Read more. Of note: With the higher rates set to be collected beginning April 9, administration officials argued last week that other countries would rush to the negotiating table. On Sunday, Navarro named the United Kingdom, the European Union, India, Japan, South Korea, Indonesia and Israel as among the nations in active negotiations with U.S. Trade Representative Jamieson Greer, Lutnick and other officials. Greer said on CBS that his goal was “to get meaningful deals before 90 days” – the duration of Trump’s pause – “and I think we’re going to be there with several countries in the next few weeks.” Related reads ➤ Thune's 'old fashioned' approach to Senate has kept Trump on board so far The Senate, once again, was working into the early morning hours Friday with its new majority leader, Republican John Thune, setting the pace. It wasn’t until just after 2 a.m. that the last of the senators had straggled into the chamber to cast their vote on the confirmation of retired Air Force Lt. Gen. Dan “Razin” Caine for chairman of the Joint Chiefs of Staff. The vote capped a grinding start to the year for the Senate that included several all-night floor sessions and — importantly for Thune — the quickest top-level Cabinet confirmation process in the past 20 years. At the outset, however, such an outcome was far from assured. Trump was making demands that the new Senate leader be ready to put the chamber into recess so he could skip over the Senate confirmation process altogether. Faced with that prospect, Thune said his message in conversations with the president was, “Let us do this the old-fashioned way and just use the clock and grind it out, and then we’ll see where we go from there.” Read more. Of note: That approach has been successful so far, allowing the South Dakota Republican to show Trump the Senate’s worth while also preserving its constitutional role in installing a president’s Cabinet. Related reads ➤ What might El Salvador’s Bukele get by visiting Trump? Trump is hosting El Salvador President Nayib Bukele at the White House on Monday as the small Central American nation becomes a lynchpin of the U.S. administration's mass deportation operation. Since March, El Salvador has accepted from the U.S. More than 200 Venezuelan immigrants – whom Trump administration officials have accused of gang activity and violent crimes — and placed them inside the country's notorious maximum-security gang prison just outside of the capital, San Salvador. It is also holding a Maryland man who the administration admits was wrongly deported but has not been returned to the U.S., despite court orders to do so. That has made Bukele, who remains extremely popular in El Salvador due in part to the crackdown on the country’s powerful street gangs, a vital ally for the Trump administration, which has offered little evidence for its claims that the Venezuelan immigrants were in fact gang members, nor has it released names of those deported. Read more. Of note: Since Secretary of State Marco Rubio’s visit in February, Bukele — whose government has arrested more than 84,000 people as part of his three-year crackdown on gangs — has made it clear he’s ready to help the Trump administration with its deportation ambitions. Bukele struck a deal under which the U.S. will pay about $6 million for El Salvador to imprison the Venezuelan immigrants for a year. When a federal judge ordered the Trump administration to turn around a flight carrying the immigrants already en route to El Salvador, Bukele wrote on social media: “Oopsie ... too late."" Related reads ➤ IN PHOTOS President Donald Trump and Elon Musk's son X Æ A-Xii watch a mixed martial arts fight at UFC 314, Saturday, in Miami. (AP Photo/Lynne Sladky) ON THE CALENDAR 2025 COUNTDOWN OUTSIDE OF WASHINGTON Wyoming abortions: New laws complicate state’s situation as bans set to be argued in state Supreme Court Proxy voting: As Congress tables issue, state lawmakers seek solutions for parents who serve in office This newsletter was originally sent out via email to our Ground Game subscribers on April 14. You can subscribe at any time at apnews.com/newsletters.",N/A
Trump says only 21 hostages held by Hamas in Gaza now believed to be alive,https://apnews.com/article/trump-hamas-gaza-israel-hostages-netanyahu-7848cad17dd47baaf21d171f3f5ea40d,Trump says only 21 hostages held by Hamas in Gaza now believed to be alive,"WASHINGTON (AP) — President Donald Trump said Tuesday that three hostages held by Hamas in Gaza have died, leaving only 21 believed to be still living. “As of today, it’s 21, three have died,” Trump said of the hostages being held by Hamas, noting until recently it had been 24 people believed to be living. He did not elaborate on the identities of those now believed to be dead, nor how he had come to learn of their deaths. “There’s 21, plus a lot of dead bodies,” Trump said. One American, Edan Alexander, had been among the 24 hostages believed to be alive, with the bodies of several other Americans also held by Hamas after its Oct. 7, 2023, assault on Israel. The president’s comments came as Israel approved plans Monday to seize the Gaza Strip and to stay in the Palestinian territory for an unspecified amount of time, in a bid to recover the hostages and try to fulfill its war aims of destroying Hamas. If implemented, the move would vastly expand Israel’s operations there and likely draw fierce international opposition. Separately, the State Department said Tuesday that the U.S. embassy helped 17 U.S. citizens and legal permanent residents leave Gaza on Monday. “We thank our partners in the Israeli and Jordanian governments who made this departure possible,” the department said. Secretary of State Marco Rubio met with Jordan’s King Abdullah II on Monday in Washington.",N/A
New York GOP congressman hit with questions about Trump during raucous town hall,https://apnews.com/video/new-york-gop-congressman-hit-with-questions-about-trump-during-raucous-town-hall-6bebe1fe2b3f4743b2b3d38d87a0782c,N/A,N/A,N/A
Trump says he wants to reopen the Alcatraz prison because it’s a powerful symbol of law and order,https://apnews.com/video/trump-says-he-wants-to-reopen-the-alcatraz-prison-because-its-a-powerful-symbol-of-law-and-order-9249c3215b254784898e514cd208b7d0,N/A,N/A,N/A
Trump does impression of transgender weightlifter during Alabama speech,https://apnews.com/video/trump-does-impression-transgender-weightlifters-during-alabama-speech-29153fe7eae6429c8c3abddd46019445,N/A,N/A,N/A
Core Democratic groups are preparing to be targeted by the Trump administration,https://apnews.com/article/democrats-trump-actblue-indivisible-legal-threat-fbi-42f502bcb5888b12628629710c6eb21b,N/A,N/A,N/A
"Even in Alabama, some Republicans worry about Trump’s sweeping agenda",https://apnews.com/article/trump-alabama-republicans-doge-tariffs-e8d6561f1be73a557842c1342d5084b4,N/A,N/A,N/A
Where are federal jobs affected by DOGE cuts? A look at congressional districts across the US,https://apnews.com/article/doge-federal-job-cuts-congressional-districts-data-5d79e2a7ef2160166b0bee59dfa4e9e2,N/A,N/A,N/A
