headline,article_url,article_title,article_content,published_date
"Curry leaves Warriors’ win vs. Wolves with hamstring strain, putting rest of series in question",https://apnews.com/article/nba-playoffs-warriors-timberwolves-curry-ea429388284d38dc4726c7a504a6a898,N/A,N/A,N/A
Golden State star Stephen Curry was sidelined by a strained left hamstring early in the second quarter at Minnesota and the Warriors were bracing for an extended absence of their sharpshooting leader after opening the series by beating the Timberwolves 99-88.,https://apnews.com/article/nba-playoffs-warriors-timberwolves-curry-ea429388284d38dc4726c7a504a6a898,"Curry leaves Warriors’ win vs. Wolves with hamstring strain, putting rest of series in question","MINNEAPOLIS (AP) — Golden State star Stephen Curry was sidelined by a strained left hamstring early in the second quarter at Minnesota, and the Warriors were bracing for an extended absence of their sharpshooting leader after opening the series by beating the Timberwolves 99-88 on Tuesday. Curry will have an MRI on Wednesday. His status is day to day, but coach Steve Kerr acknowledged it’s unlikely he’ll be available to play in Game 2 on Thursday. “He’s obviously crushed, but the guys picked him up and played a great game,” Kerr said. “Obviously we’re all concerned about Steph, but that’s part of the game. Guys get hurt, and you move on. Our guys did a great job of moving on and getting a great win 48 hours after a Game 7 road win. It’s an amazing group of guys. They compete. They’re together.” Curry started grabbing at the back of his left leg early in the second quarter shortly after hitting a 26-foot step-back 3-pointer. He powered through some discomfort for a bit, and after getting a 14-foot floater to fall for a 27-20 lead he started motioning to the bench that he needed to come out. Once a timeout by the Timberwolves finally stopped the clock, Curry jogged gingerly to the locker room with 13 points in 13 minutes on 5-for-9 shooting. “A little deflating, but we knew he did a great job of helping us build a comfortable lead,” teammate Draymond Green said. The 37-year-old Curry helped Golden State beat Houston in Game 7 of their first-round series two nights earlier. Going the distance after taking a 3-1 lead in that series cost Curry and the Warriors some valuable rest time, and there’s only one day off between games for the first five games. There are three off days between Game 5 on May 14 and Game 6 on May 18. After a five-year period during which he had a hard time staying healthy, with a variety of injuries to both hands and feet, Curry played in 70 games this season after logging 74 games last season. The four-time NBA champion and 11-time All-Star averaged 24 points per game against the Rockets for the sixth-seeded Warriors. The spirits were high for the Warriors in the aftermath of their all-hands-on-deck dismantling of the Wolves, despite the ominous departure of their most important player. “We have the best coaching staff in the NBA. We know they’ll put us in a good spot,” said Jimmy Butler, who finished with 20 points, 11 rebounds and eight assists. “We all want ‘30’ back. Until then, we can all hold down the fort.” ___ AP NBA: https://apnews.com/hub/NBA",N/A
Haliburton’s 3 with 1.1 seconds left gives Pacers 120-119 stunning win over Cavs and 2-0 series lead,https://apnews.com/article/nba-playoffs-pacers-cavaliers-haliburton-3ab13caac21987ef156ea8c2e8cb9dab,Haliburton’s 3 with 1.1 seconds left gives Pacers 120-119 stunning win over Cavs and 2-0 series lead,"CLEVELAND (AP) — Tyrese Haliburton said he knows he’s trusted to deliver in big moments. In three straight playoff games, the Indiana Pacers guard has delivered when it has mattered most. Haliburton made a 3-pointer with 1.1 seconds remaining as the Pacers scored the final eight points in 47.9 seconds to stun the short-handed and top-seeded Cleveland Cavaliers 120-119 on Tuesday night to take a 2-0 lead in their Eastern Conference semifinals series. Haliburton scored 11 of his 19 points in the final 12 minutes. After Andrew Nembhard stole an inbounds pass by Cleveland’s Max Strus with 27.5 seconds remaining, Indiana tried to find a potential tying 3-pointer before Haliburton drove inside and got fouled. He made the first free throw, but missed the second. Haliburton got the offensive rebound and dribbled out to the 3-point line, where he made it from the top of the key. “I was (ticked) I missed the layup because I couldn’t hang onto the ball, so I backed it out. I just saw Ty Jerome, top of the key and knocked it down,” Haliburton said. “It’s the NBA, crazier things have happened. That’s just what basketball is. We don’t give up and we’re battle tested. We just find a way.” After making a layup with 1.3 seconds remaining in overtime to help the Pacers eliminate the Milwaukee Bucks, Haliburton has continued to hit key shots against the Cavaliers. He scored 22 points in Sunday’s 121-112 victory in the series opener, including a go-ahead 3-pointer midway through the fourth quarter. “Obviously, we got lucky. Ty hit another amazing shot to win the game,” Indiana coach Rick Carlisle said. “You don’t see this very often, let alone twice in one week. Tyrese, he came through again. We’re very fortunate.” Myles Turner and Aaron Nesmith led No. 4 seed Indiana with 23 points apiece. It’s the first time the Pacers have won the first two games of a playoff series on the road since a 1994 first-round set against Orlando. Game 3 is Friday night in Indianapolis. Donovan Mitchell scored 48 points for Cleveland, who were missing three key players, including two starters. NBA Defensive Player of the Year Evan Mobley (left ankle) and key reserve De’Andre Hunter (right thumb) were injured in Game 1, while Darius Garland (left big toe) missed his fourth straight postseason game. “I feel like we outplayed them for the majority of the game and then towards the end we had our mental lapses. They capitalized on every single mistake that we made,” said Jarrett Allen, who had 22 points and 12 rebounds. Mitchell scored 15 points in the third quarter as the Cavaliers built a 98-81 lead late in the period. But the Pacers rallied with a 17-6 run to get back in it. Cleveland looked as though it got some breathing room with 1:06 remaining when Max Strus hit a 3-pointer off an assist by Mitchell to put them up 117-110. But the Cavs couldn’t hold on again as they committed two turnovers and the Pacers had a pair of offensive rebounds that led to points in the final minute. It’s the first time Cleveland dropped its first two at home in the playoffs since 1996 in the first round against the Knicks. “It’s hard to put all this in words,” Carlisle said. “Cleveland hit us with a hellacious punch early in the game. In the fourth, we just hung on. We maintained enough energy to get it done. Give the guys credit, they somehow found a way.” ___ AP NBA: https://apnews.com/hub/nba",N/A
Jaccob Slavin scores in OT as the Hurricanes beat the Capitals in Game 1 of their 2nd-round series,https://apnews.com/article/hurricanes-capitals-score-nhl-playoffs-cf3a91e770ad093adec0deb215ab3476,Jaccob Slavin scores in OT as the Hurricanes beat the Capitals in Game 1 of their 2nd-round series,"WASHINGTON (AP) — Very few people in the arena knew the puck was in the net, including Jaccob Slavin, who shot it through traffic. Goaltender Logan Thompson figured it out when he saw the red light on behind him. “I didn’t know it went in until I saw Jordan Staal, Staalsy, coming with his arms up yelling at me,” Slavin said. Seeing it to believe it, Slavin’s overtime goal gave the Carolina Hurricanes a 2-1 victory at the Washington Capitals in Game 1 of their second-round series on Tuesday night. The winner came on their 94th attempt and 33rd that got on net, showing the shot volume offense that has gotten them to this point. “We were all over it, and we knew we had to just throw everything at the net,” Slavin said. “That mentality paid off there at the end.” Carolina allowed Washington to get just 14 shots on goal, the second-fewest in Hartford Whalers/Hurricanes history. Frederik Andersen gave up just an early second-period goal to Aliaksei Protas in his return from missing the end of the first round because of injury. “Just trying to take what comes my way and be in that moment all the time and just stay with it,” Andersen said. “You don’t know when that next big save’s going to happen.” Thompson made 31 of them for the Capitals, who spent large swaths of time defending in their own end. That sucked a lot of the energy out of the top seed in the Eastern Conference, which is accustomed to putting on the pressure rather than absorbing it. “We didn’t play our style of hockey,” Washington’s Dylan Strome said. “We let them dictate.” The Capitals led from Protas’ goal until nearly the midway point of the third, when an errant pass from Protas banked off teammate Alex Alexeyev’s right skate and to Jesperi Kotkaniemi, who fed Logan Stankoven to tie it. “I just thought I’d rip it,” Stankoven said. “It was nice to see it go in.” Carolina remains the only team perfect on the penalty kill this postseason, keeping Washington’s power play off the board twice to improve to 17 of 17. That, along with Kotkaniemi and Stankoven taking advantage of a mistake and Slavin scoring with Seth Jarvis screening Thompson was the difference. “We got some traffic,” coach Rod Brind’Amour said. “Obviously, it wasn’t the greatest of goals, but they all count.” Game 2 is Thursday night in Washington before the series shifts to Raleigh, North Carolina, for 3 and 4. ___ AP NHL playoffs: https://apnews.com/hub/stanley-cup and https://apnews.com/hub/nhl",N/A
Oilers rally for NHL-record fifth straight time to beat Golden Knights 4-2 in Game 1,https://apnews.com/article/oilers-golden-knights-score-nhl-playoffs-9741061ec6e71f1be1574c1b1b26d1d4,Oilers rally for NHL-record fifth straight time to beat Golden Knights 4-2 in Game 1,"LAS VEGAS (AP) — One thing is becoming clear during this year’s NHL playoffs: Don’t count out the Edmonton Oilers. They rallied from a 2-0 series deficit to oust Los Angeles in six games in the first round. Then they opened the second round Tuesday night by setting a league record with their fifth consecutive playoff comeback victory in a single postseason. Zach Hyman scored from just above the right circle with 3:02 left to put Edmonton ahead for good in its 4-2 victory over Vegas Golden Knights after falling behind 2-0. “That’s part of having a mature, older group,” Oilers coach Kris Knoblauch said. “Players have seen a lot, a lot of good things and a lot of bad things. In the playoffs, things fluctuate. There’s a lot of things that can stress out the team. No matter what happens, I think we handled it really well tonight.” Vegas, which had just seven shots on goal over the final two periods, lost a playoff game in regulation after leading by at least two goals for the first time. The Golden Knights are 47-4 overall in the postseason with that kind of lead. Game 2 is Thursday night in Las Vegas. “We’ll go over it and get ready for Thursday night’s game,” said Mark Stone, who scored both Vegas goals. “It’s going to be a big one for us.” Leon Draisaitl had a goal and an assist for the Oilers, and Corey Perry and Connor Brown scored the other goals. Evan Bouchard and Connor McDavid each had two assists. McDavid now has four consecutive postseasons with at least 10 assists for fourth-best in league history. Calvin Pickard was barely tested after the first period and finished with 15 shots. “We have experience to win games in a lot of different ways, a lot of untraditional ways,” Hyman said. “Any time you get a win, it’s a big day. We’ve got to take what we did in the second and third and do in the first.” Stone tied Jonathan Marchessault’s franchise record with 36 goals for his Vegas career. He also extended his goal-scoring streak to three games. Adin Hill made 24 saves. Both star-studded top lines delivered in the first period, with Stone scoring twice, the first on a double-minor power play. Edmonton’s top unit cut the deficit in half with 3:34 left when Perry deked Hill for an open net with McDavid and Draisaitl getting assists on the play. Neither team scored in the second period even though the Oilers outshot Vegas 12-1. The Golden Knights had never been held to fewer than two shots on goal in a regulation playoff period. Edmonton didn’t waste a chance early in the third, tying the score 57 seconds in when Draisaitl backhanded a shot off the boards and off Hill. Hyman, who earlier in the shift took a stick to the face from Kaedan Korczak, broke the tie in the closing minutes, and Brown sealed the win 1:16 later. Golden Knights defenseman Alex Pietrangelo did not play because of an illness, allowing Korczak to make his first career postseason start. Vegas also was without Pavel Dorofeyev, who led the team with 35 goals this season, for the second game in a row because of an undisclosed injury. Coach Bruce Cassidy has descibed him as day to day. ___ AP NHL: https://apnews.com/hub/nhl",N/A
"Kentucky Derby winner Sovereignty won’t run in the Preakness, dashing Triple Crown possibility",https://apnews.com/article/sovereignty-preakness-triple-crown-e2368353711c0671ed019989a763b461,"Kentucky Derby winner Sovereignty won’t run in the Preakness, dashing Triple Crown possibility","Kentucky Derby winner Sovereignty will not run in the Preakness Stakes, officials announced Tuesday, meaning there won’t be a Triple Crown champion for a seventh consecutive year. “We received a call today from trainer Bill Mott that Sovereignty will not be competing in the Preakness,” said Mike Rogers, executive VP of 1/ST Racing, which operates the Preakness. “We extend our congratulations to the connections of Sovereignty and respect their decision.” Mott told Preakness officials the plan will be to enter Sovereignty in the Belmont Stakes, the third jewel of the Triple Crown, on June 7 at Saratoga Race Course in upstate New York. Mott on Sunday morning had foreshadowed skipping the Preakness in the name of long-term interests. “We want to do what’s best for the horse,” he told reporters at Churchill Downs in Louisville, Kentucky. “Of course, you always think about a Triple Crown, and that’s not something we’re not going to think about.” Sovereignty won a muddy Derby with jockey Junior Alvarado at odds of 7-1 by passing favorite Journalism down the stretch. Owner Godolphin’s U.S. director of bloodstock, Michael Banahan, deferred an explanation to Mott in a text message sent to The Associated Press, calling it a team decision that “both feel it’s the right direction for the horse going forward.” A message left for Mott was not immediately returned. This is the fifth time since Justify won all three races in 2018 that the Preakness will go on without a true shot at a Triple Crown. Elevated winner Country House and Maximum Security, who was disqualified for interference, each did not participate in 2019, the races were run out of order in 2020, Bob Baffert-trained Medina Spirit was DQ’d for a positive drug test in 2021 and long shot Rich Strike was held out in 2022 to rest him for the previously planned five weeks. Mage finished third in the Preakness in 2023, and Mystik Dan was second last year after his owner and trainer also were initially reluctant to run him. The two-week turnaround from the Kentucky Derby to the Preakness and changes in modern racing have sparked debate around the sport about spacing out the races. Prominent owner Mike Repole earlier Tuesday posted on social media a proposal to move the Belmont to second in the Triple Crown order, four weeks after the Kentucky Derby and sliding the Preakness back further with the aim of keeping more of the top horses involved. “The Preakness being run two weeks after the Kentucky Derby, in this new day and age in racing, shows the lack of vision and leadership needed to evolve this sport,” Repole wrote. “I expect the top three finishers of this year’s Derby to skip the Preakness and go right to the Belmont.” No decision has been made on second-place finisher Journalism, who was the Derby favorite, or third-place Baeza for the 150th running of the Preakness, the last at Pimlico Race Course before it is knocked down and rebuilt. The plan is for the 2026 Preakness to take place at Laurel Park between Baltimore and Washington while Pimlico is under construction. ___ AP horse racing: https://apnews.com/hub/horse-racing",N/A
‘We were lucky to get out of this series’ - Steve Kerr ‘could not be more proud’ as Golden State Warriors blast past Houston Rockets,https://apnews.com/video/we-were-lucky-to-get-out-of-this-series-steve-kerr-could-not-be-more-proud-as-golden-state-warriors-blast-past-houston-rockets-00000196a136d9a2a5fff1ff3aaa0000,N/A,N/A,N/A
Trump announces Washington will host the 2027 NFL draft on the National Mall,https://apnews.com/video/trump-announces-washington-will-host-the-2027-nfl-draft-on-the-national-mall-151bf99a6ebe4494a1e08f8e06d622f8,N/A,N/A,N/A
Harry Kane ends his trophy drought while at Bayern Munich and Trent Alexander-Arnold calls time on his Liverpool career,https://apnews.com/video/harry-kane-ends-his-trophy-drought-while-at-bayern-munich-and-trent-alexander-arnold-calls-time-on-his-liverpool-career-00000196a136db25adf7ab374e4c0000,N/A,N/A,N/A
"Road, sweet road: Visiting teams go 4-0 in Game 1 of NBA conference semifinals, a league first",https://apnews.com/article/nba-playoffs-road-wins-058bbd4308df6252072ebe41c7690b15,"Road, sweet road: Visiting teams go 4-0 in Game 1 of NBA conference semifinals, a league first","Road, sweet road. Home-court advantage? It doesn’t exist so far in the NBA conference semifinals — where visiting teams combined to go 4-0 in Game 1s, the first time that has happened during this round in the league’s playoff history. Indiana beat top-seeded Cleveland on Sunday in the opener of that East series, New York beat defending champion Boston and Denver beat West top-seeded Oklahoma City in their respective openers Monday, and Golden State topped Minnesota in Game 1 of their matchup Tuesday. “It’s an amazing group of guys,” Warriors coach Steve Kerr said after Golden State’s win, one that came with Stephen Curry out for much of the game with a strained hamstring. So far in these playoffs, road teams have gone 23-25. That’s on pace to be the third-best overall road playoff record in NBA postseason history, not counting the bubble season of 2020 when nobody technically was at home. Road teams had gone 3-1 in the Round 2 openers of the NBA playoffs on three other occasions — 2023, 2015 and 2011 — in the current playoff format, which dates to 1984. (It also happened inside the bubble during the 2020 playoffs, when teams had home and road designations, but games were on neutral floors inside Walt Disney World in Lake Buena Vista, Florida.) But 4-0 has never happened, until now. “I always say a playoff series doesn’t start until someone wins a road game,” Indiana guard Tyrese Haliburton said. “Well, we’ve won two.” That’s true: Indiana doubled down on its road success by also taking Game 2 at Cleveland on Tuesday night, just before Golden State lost Stephen Curry early but won Game 1 at Minnesota. And all that led to even more road history: Sunday, Monday and Tuesday became the first three-day stretch in NBA playoff history where visiting teams combined to go at least 6-0. That run started Sunday with Indiana’s Game 1 win at Cleveland, then Golden State’s Game 7 road win at Houston in the conclusion of the first round of the playoffs. The wins by New York and Denver were Monday, then Indiana and Golden State won again on Tuesday. “This team has fought all year,” Knicks coach Tom Thibodeau said. “It’s been a pretty good road team.” They’re not alone. Not this year, anyway, and this trend didn’t start in these playoffs. Home teams won 54% of games in the regular season, the fourth time the leaguewide home winning percentage has dipped that low in the last five years. ___ AP NBA: https://apnews.com/hub/NBA",N/A
