headline,article_url,article_title,article_content,published_date,writer
"Raleigh's pinch-hit single in 9th sends Mariners past Athletics 5-3 Pinch-hitter Cal Raleigh put Seattle ahead with a two-run single in the ninth inning, Julio Rodríguez went 3 for 4 with a solo home run and the Mariners beat the Athletics 5-3 on Tuesday night. 6H AGO",https://www.cbsnews.com/sanfrancisco/news/raleighs-pinch-hit-single-in-9th-sends-mariners-past-athletics-5-3/,Raleigh's pinch-hit single in 9th sends Mariners past Athletics 5-3,"WEST SACRAMENTO — Pinch-hitter Cal Raleigh put Seattle ahead with a two-run single in the ninth inning, Julio Rodríguez went 3 for 4 with a solo home run and the Mariners beat the Athletics 5-3 on Tuesday night. With the Mariners trailing by one, Jorge Polanco drew a one-out walk from reliever Tyler Ferguson (0-1) in the ninth. Rodríguez followed with a single and Randy Arozarena was hit by a pitch to load the bases. Raleigh's single to right field gave Seattle a 4-3 lead, and Dylan Moore added a sacrifice fly. Carlos Vargas got three outs for his first major league save, retiring pinch-hitter Seth Brown with two on to end it. Collin Snider (1-0) gave up a go-ahead single to Miguel Andujar in the eighth but prevented further damage. Seattle is 17–6 since April 9, the best record in the big leagues during that span. J.P. Crawford singled in the fifth to extend the longest active hitting streak in the majors to a career-best 14 games. Rodríguez homered in the first inning and Miles Mastrobuoni had an RBI double for the Mariners in the second. Brent Rooker and Tyler Soderstrom each had three hits for the Athletics. Andujar added two hits and two RBIs. Rooker also scored twice — and stole two bases for the first time in his career. Mariners relievers Gabe Speier and Snider got bases-loaded strikeouts to end the seventh and eighth innings, respectively. Seattle is 8-0-2 in its last 10 series with the Athletics and 47–16 over its last 63 games against the A's. Mariners RHP Bryan Woo (4-1, 1.58 ERA) is scheduled to start the series finale Wednesday against RHP Gunnar Hoglund (1-0, 1.50), who beat Miami in his MLB debut last Friday.","May 6, 2025 / 11:23 PM PDT / AP",N/A
Valkyries fall short in second half comeback losing 83-82 against Sparks The Valkyries showed they have some grit in their first-ever game after mounting a comeback in the second half of their preseason match-up against the Sparks. 7H AGO,https://www.cbsnews.com/sanfrancisco/news/valkyries-sparks-preseason-game-2025-first-ever-game/,Valkyries fall short after unsuccessful second half comeback losing 83-82 to Sparks in first-ever game,"In their first-ever game, the Golden State Valkyries lost to the Los Angeles Sparks 83-82 after mounting a strong but unsuccessful comeback with the help of Laeticia Amihere, who scored 20 points. Tiffany Hayes, Veronica Burton, Kayla Thornton, Monique Billings and Temi Fagbenle took to the court as the Valkyries' first-ever starting lineup during their preseason game. It was Natalie Nakase's first game as a WNBA head coach, and she made history becoming the WNBA's first Asian American head coach. The Sparks took an early lead in the matchup off a layup by All-WNBA player Kelsey Plum. The Valkyries quickly got on the board after Hayes connected with Billings for 2 points. Golden State cut the lead to 6-5, but the Sparks pulled ahead, going on a 6-0 run. The Valkyries finished the first quarter trailing 16-13. The Sparks pulled ahead going into halftime with a commanding 39-25 lead. The first half was a battle in the paint. Both teams scored more than half their points from in the paint. Golden State scored 14 while Los Angeles scored 26. Billings had a strong first half with 7 rebounds and 7 points. Thornton, who came off a championship-winning season with the New York Liberty, had 4 rebounds and 6 points. They took the majority of the shots, alongside Hayes. Kate Martin, who was the 2024 Sixth Woman of the Year, Carla Leite, Julie Vanloo and Laeticia Amihere, combined for 7 first-half points off the bench. The Valkyries got off to a hot start in the third quarter with a 3-pointer by Thornton, kicking off an 11-2 run to bring Golden State within 2. The Sparks began to pull away again, taking a 54 to 45 lead with just over two minutes left in the third quarter. Then, the Valkyries went on their best run of the game, tying the game at 54-54 with 38 seconds left. The Sparks responded with a 3-pointer, which the Valkyries quickly matched as Kyara Linskens connected with Amihere for a 3-pointer with less than five seconds left to enter the final quarter 57-57. The Valkyries outscored the Spark 32-18 in the third quarter. The Sparks scored the first basket in the fourth quarter and never let the lead go. Amihere scored the Valkyries' first points in the final quarter and helped keep them within single digits of the Sparks. A steal by Vanloo got the Valkyries within one point after she threw a dime to Kaitlyn Chen on the fast break, bringing the score to 66-67, with 5 minutes left in the game. The Valkyries had a strong second half but fell short, losing by 1 point after a buzzer-beater by Amihere brought the final score to 83-82. The Sparks had two inactive players, forward Cameron Brink and guard Julie Allemand. Stephanie Talbot and Cecilia Zandalasini were inactive for the Valkyries. The Valkyries' next game is preseason action against the Phoenix Mercury on May 11. Jose Fabian is a web producer for CBS Bay Area where he reports on local crime, politics and breaking news. He studied political science and journalism at Sacramento State and was born and raised in Northern California.","Updated on: May 6, 2025 / 10:13 PM PDT / CBS San Francisco",Jose Fabian
"Warriors take Game 1 from Wolves 99-88 Buddy Hield and Draymond Green delivered from 3-point range with Golden State star Stephen Curry suddenly sidelined by a hamstring strain, and the Warriors opened the second-round series with an inspired 99-88 victory over the Timberwolves. 8H AGO",https://www.cbsnews.com/sanfrancisco/news/warriors-take-game-1-from-wolves/,Wolves struggle to keep up with the Warriors in Game 1 despite Curry's departure,"Buddy Hield and Draymond Green delivered from 3-point range with Golden State star Stephen Curry suddenly sidelined by a hamstring strain, and the Warriors opened the second-round series with an inspired 99-88 victory over the stumbling Timberwolves on Tuesday night. Hield picked up where he left off in the Game 7 win at Houston that finished the first round by scoring 24 points on 5-for-8 3-point shooting. Jimmy Butler had 20 points, 11 rebounds and eight assists and Green had four first-half 3s on his way to 18 points, as the Warriors used 12 players, plenty of hustle and lockdown defense to overcome the concerning departure of their sharpshooting leader. The home teams have yet to win in the second round of these NBA playoffs. Minnesota has another chance to get one in Game 2 on Thursday. The big question: Will Curry will be available? The league's career leading 3-point shooter and four-time NBA champion exited early in the second quarter after hitting a 14-footer and grabbing the back of his left leg. The Warriors ruled him out for the remainder of the game soon after that. Warriors coach Steve Kerr shrewdly sent a zone defense at a Wolves team that went 7 for 47 from 3-point range in a convincing win over the Los Angeles Lakers in the Game 5 clincher in the first round, and the bricks piled up even higher after nearly a week off. The Wolves missed their first 16 shots from 3-point range until they were down by 20 and Naz Reid drained one from the wing with 8:32 left in the third quarter. Anthony Edwards had 23 points and 14 rebounds after a particularly rough start, finishing 9 for 22 from the floor. Reid had 19 points and Julius Randle added 16 points for the Wolves, who finished 5 for 29 from behind the arc and trailed by 23 points late in the third. ___ AP NBA: https://apnews.com/hub/NBA","May 6, 2025 / 9:29 PM PDT / AP",N/A
How to watch the Golden State Valkyries' first preseason game The WNBA tips off a new era in Bay Area basketball. 15H AGO,https://www.cbsnews.com/sanfrancisco/news/how-to-watch-the-golden-state-valkyries/,How to watch the Golden State Valkyries' first pre-season game,"On Tuesday night, the Golden State Valkyries will start a new era of Bay Area basketball. The WNBA team will be playing their first pre-season game at Chase Center in San Francisco against the Los Angeles Sparks. Excitement is building for the team who announced they broke a record by selling more than 10,000 season tickets. If you can't make it to Chase Center, the game will be broadcast on PIX+ 44 cable 12. The Valkyries will be playing at Chase Center but their headquarters is in Oakland. CBS News Bay Area is the official broadcast partner of the Golden State Valkyries. Fans will be able to watch 37 games across KPIX and PIX+ channel 44 cable 12. See the full broadcast schedule.","Updated on: May 6, 2025 / 2:18 PM PDT / CBS San Francisco",N/A
"Sharks to pick 2nd in 2025 NHL Draft following last-place finish The New York Islanders won the NHL draft lottery on Monday and vaulted nine teams, including the last-place San Jose Sharks, in winning the opportunity to have the No. 1 pick. MAY 6",https://www.cbsnews.com/sanfrancisco/news/2025-nhl-draft-lottery-san-jose-sharks-2nd-pick/,Sharks to pick 2nd in 2025 NHL Draft following last-place finish,"New York Islanders pro scouting director Ken Morrow knows a thing or two about so-called hockey miracles. Witnessing the Islanders win the NHL draft lottery on Monday and vault nine other teams in the order for the right to have the No. 1 pick represented yet another memorable moment for the four-time Stanley Cup champion and member of the 1980 gold-medal-winning ""Miracle on Ice"" U.S. Olympic team. ""I've had a lot of thrills in my hockey life, but this is right up there at the top,"" Morrow said. ""The hockey gods smiled on us. I can't tell you how thrilled I am for Islanders fans, for our ownership, for the entire Islanders organization."" The Islanders, who missed the playoffs for the second time in four seasons, are in the midst of a front-office shakeup after not renewing general manager Lou Lamoriello's contract on April 22. And they earned a remarkable lottery win by entering the day with a 3.5% shot — the 10th-best odds — of seeing their numbers come up. New York wasn't the only team to buck the lottery odds. The Utah Hockey Club won the second round of the lottery, and made the jump from 14th to fourth under the rules limiting teams from moving up no more than 10 spots in the draft order. ""A couple of seconds ago, we were just like 10 back, so it still hasn't sunk in,"" Utah GM Bill Armstrong said of a first-year franchise that finished just seven points out of a playoff spot. ""This is an exciting moment for us. It's a game-changer for us."" The San Jose Sharks will pick second after entering the day with the best odds, 18.5%, to win the lottery and a 25.5% chance of landing the No. 1 choice. San Jose, which finished last for a second consecutive year, was seeking to become the NHL's first team to win the lottery and pick first in consecutive years. ""We definitely lucked it out last year to be able to select Mac,"" Sharks GM Mike Grier said in referring to selecting Boston University center Macklin Celebrini first overall. ""This year would have obviously been nice to have the pick and have the choice of all the players. But picking two, we're still in a pretty good spot so we're happy."" The Chicago Blackhawks had the second-best chances to win the lottery and will pick third. The remaining 12 teams moved two spots back in the order, starting with Nashville dropping from third to fifth. The final 16 draft spots will be determined following the playoffs. The Islanders have the right to pick first for the fifth time in team history, and first since selecting John Tavares with the No. 1 choice in 2009. This year's draft will be held in Los Angeles with the first round taking place on June 27, followed by the final six rounds the next day. Top prospects will convene for the weeklong predraft combine being held in Buffalo next month. The prospect pool is not considered as deep at the top as last year's class, or next year's group, with Canadian junior forward Gavin McKenna long regarded as the No. 1 candidate. Erie Otters defenseman Matthew Schaefer is NHL Central Scouting's top-ranked North American prospect followed by OHL Saginaw center Michael Misa and Boston College center James Hagens, the top-ranked U.S. born prospect. Hagens is from Long Island and grew up an Islanders fan. Listed at 6-foot-2 and 183 pounds, Schaefer maintained his No. 1 position despite missing the final three months of the season after breaking his right collarbone representing Canada at the world junior championships in December. Schaefer has the potential of becoming only the fifth defenseman selected No. 1 since 2000, and first since Buffalo chose Owen Power in 2021. And he also has the chance of being the first OHL player to go No. 1 since Edmonton drafted Erie's Connor McDavid in 2015. The top-ranked international skaters are center Anton Frondell and right wing Victor Eklund, who are teammates with Djurgarden of Sweden's second division league. New York's jump from 10th to first is the biggest involving a team winning the No. 1 selection. And it comes after the last-place team won the lottery to retain the first pick in four of the past five years and 12 times overall since the NHL launched the format in 1995. The New York Rangers enjoyed the previous largest move up to No. 1 in 2020, when they were grouped among eight teams — ranked eighth to 15th — with the same odds to win the lottery after being eliminated in the COVID-altered play-in round of the expanded 24-team playoff format. The lottery was held at the NHL Network studios in New Jersey, and conducted live for the first time in the event's 30-year history. Previously, the lottery was held shortly before the broadcast in front of a limited audience of sequestered observers, followed by the draft selections being revealed in reverse order.","Updated on: May 6, 2025 / 12:16 AM PDT / AP",N/A
Wilson comes up clutch again as A's edge Mariners 7-6 in 11 innings Jacob Wilson singled home the winning run in the 11th inning to give the Athletics a 7-6 victory over the Seattle Mariners on Monday night in the opener of a three-game series between the top two teams in the AL West. MAY 5,https://www.cbsnews.com/sanfrancisco/news/wilson-comes-up-clutch-again-as-as-edge-mariners-7-6-in-11-innings/,Wilson comes up clutch again as A's edge Mariners 7-6 in 11 innings,"WEST SACRAMENTO — Jacob Wilson singled home the winning run in the 11th inning to give the Athletics a 7-6 victory over the Seattle Mariners on Monday night in the opener of a three-game series between the top two teams in the AL West. Wilson finished with three hits and three RBIs, including a tying single against Mariners closer Andrés Muñoz leading off the 10th that scored automatic runner JJ Bleday. The Athletics then loaded the bases with nobody out, but Muñoz struck out the next three batters and still has not allowed an earned run this season. One inning later, a sacrifice bunt by Gio Urshela and two intentional walks loaded the bases for Wilson. He smacked a one-out single off Casey Legumina (2-1) through the middle of a drawn-in infield as the Athletics pulled within a game of the first-place Mariners. It was Wilson's third walk-off hit in 62 major league games and second this season. Hogan Harris (1-0) got the win with a scoreless 11th. Miguel Andujar's sacrifice fly in the first and Wilson's RBI single in the second staked the Athletics to a 2-0 lead. Jorge Polanco, Rowdy Tellez, Miles Mastrobuoni and Ben Williamson each drove in a run in the third off Athletics starter Luis Severino to put Seattle ahead 4-2. Shea Langeliers led off the fourth with his eighth homer and Lawrence Butler tied it with a two-out RBI single. Langeliers' sacrifice fly off Collin Snider in the seventh gave the Athletics a 5-4 advantage. Cal Raleigh drew a walk from Grant Holman in the eighth and scored on a two-out single by Williamson to tie it. Seattle starter Bryce Miller allowed four runs and seven hits in four innings. Severino permitted four runs on five hits and four walks in six innings. Athletics closer Mason Miller walked two in the ninth before coming back to strike out Raleigh for the third out. The Mariners are looking to win nine consecutive series for the first time since taking a franchise-record 15 straight in 2001. Mariners RHP Emerson Hancock (1-1, 6.62 ERA) starts the middle game of the series Tuesday night against LHP Jeffrey Springs (4-3, 4.98).","May 5, 2025 / 11:34 PM PDT / AP",N/A
"Ian Happ homers as Cubs beat sloppy Giants Carson Kelly also went deep, sparking the Cubs' five-run sixth inning with a leadoff drive for his eighth homer. MAY 5",https://www.cbsnews.com/sanfrancisco/news/ian-happ-homers-cubs-beat-sloppy-giants/,Ian Happ homers as Cubs beat sloppy Giants,"Ian Happ homered and drove in three runs, helping Matthew Boyd and the Chicago Cubs beat the sloppy San Francisco Giants 9-2 on Monday night. Carson Kelly also went deep, sparking Chicago's five-run sixth inning with a leadoff drive for his eighth homer. Happ added a sacrifice fly and Seiya Suzuki singled in two more runs in the decisive outburst. Boyd (3-2) pitched six innings of two-run ball as the NL Central leaders won for the fourth time in five games. The left-hander struck out seven and walked none. San Francisco shortstop Willy Adames and five-time Gold Glove third baseman Matt Chapman each committed two errors, contributing to six unearned runs for Chicago in the opener of a three-game set. Luis Matos hit a tying two-run homer for the Giants in the fourth, but the Cubs responded with two runs in the bottom half. Landen Roupp (2-3) struck out the first two batters before Pete Crow-Armstrong reached on an error on Chapman. Nico Hoerner then singled and swiped second ahead of Dansby Swanson's two-run single to left. Swanson had three hits and scored twice. He is batting .462 (12 for 26) during a seven-game hitting streak. Kyle Tucker's sixth-inning walk loaded the bases before Suzuki greeted Spencer Bivens with a grounder into left field, driving in Swanson and Nicky Lopez for a 9-2 lead. Boyd has allowed three earned runs or fewer in each of his seven starts this season. Justin Verlander (0-2, 4.38 ERA) starts for San Francisco on Tuesday, and Colin Rea (2-0, 1.46 ERA) pitches for Chicago.","May 5, 2025 / 8:56 PM PDT / AP",N/A
"Stephen Curry and Buddy Hield lead Warriors past Rockets 103-89 in Game 7 Stephen Curry and Warriors advance to Western Conference semifinals, beating Rockets 103-89 in Game 7. MAY 4",https://www.cbsnews.com/sanfrancisco/news/curry-warriors-rockets-game-7-nba-playoffs/,Stephen Curry and Buddy Hield lead Warriors past Rockets 103-89 in Game 7,"HOUSTON (AP) — Stephen Curry scored 14 of his 22 points in the fourth quarter, Buddy Hield made nine 3-pointers and scored 33 points, and the Golden State Warriors advanced to the Western Conference semifinals with a 103-89 win over the Houston Rockets in Game 7 Sunday night. The Warriors will face the Timberwolves Tuesday night in Minnesota. Hield had a scorching first half with six 3-pointers and 22 points to carry the Warriors to a 12-point lead, with Curry scoring just three points before the break. Then Curry took over in the closing minutes and performed his signature ""night night"" gesture as the Warriors put the Rockets away. The Warriors became the seventh No. 7 seed in NBA history to advance to the semifinals and eliminated Houston in the playoffs for a fifth time. They sent the James Harden-led Rockets squads packing four times between 2015 and 2019. Hield was 9 of 11 from 3-point range, setting an NBA record for a Game 7 and making more 3s than the Rockets, who were 6 of 18 from long range. Amen Thompson scored 24 points to lead Houston, which forced Game 7 with two straight wins but couldn't put away the experienced Warriors.","Updated on: May 4, 2025 / 8:17 PM PDT / AP",N/A
"Willy Adames homers twice to help the Giants beat the Rockies 9-3 Willy Adames homered twice and drove in three runs, helping the San Francisco Giants beat the Colorado Rockies 9-3. MAY 4",https://www.cbsnews.com/sanfrancisco/news/san-francisco-giants-win-away-game-against-rockies-9-3/,Willy Adames homers twice to help the Giants beat the Rockies 9-3,"Willy Adames homered twice and drove in three runs, helping the San Francisco Giants beat the Colorado Rockies 9-3 on Sunday. Adames hit a solo homer in each of his first two at-bats for his eighth career multihomer game. He just missed another homer in the fifth when he hit an RBI double off the wall in right-center. Giants right-hander Logan Webb (4-2) pitched seven innings of one-run ball, bouncing back nicely after he surrendered a season-high five runs in a loss at San Diego on Tuesday. Colorado dropped to a major league-worst 6-28. It is 2-17 on the road. The Rockies closed to 2-1 on Jacob Stallings' RBI single in the fifth. But the Giants responded with three runs in the bottom half of the inning. Adames' double knocked in Mike Yastrzemski, who drove in two runs earlier in the inning. The Giants added four runs in the seventh to take a 9-1 lead. Gérman Márquez (0-6) allowed five runs in 4 1/3 innings and lost his sixth consecutive start for the Rockies. Adames, who entered the game batting just .215 with two homers after signing with the Giants in free agency, homered on the 10th pitch of his at-bat in the first. The Rockies have lost 11 straight series to start the season. Rockies: Have a day off before hosting the Tigers on Tuesday to start a three-game set. RHP Chase Dollander (2-3, 6.48 ERA) is scheduled to start for Colorado. Giants: Travel to Chicago for a three-game series against the Cubs, with RHP Landen Roupp (2-2, 5.10 ERA) slated to pitch on Monday. ___ AP MLB: https://apnews.com/hub/MLB","May 4, 2025 / 2:07 PM PDT / AP",N/A
Oakland LGBTQ nightclub holds fundraiser to raise money after recent burglary,https://www.cbsnews.com/sanfrancisco/news/oakland-lgbtq-nightclub-holds-fundraiser-to-raise-money-after-recent-burglary/,Oakland LGBTQ nightclub holds fundraiser to raise money after recent burglary,"OAKLAND — An Oakland LGBTQ nightclub is trying to do what it can to recover after a recent burglary. On Tuesday, tables filled Que Rico nightclub for a taco fundraiser, an attempt to turn the break-in, into a bounce back. Rick Hernandez Graham lives in Castro Valley and doesn't come into Oakland as much anymore, but he did for this event. ""It all just kinda fell into place,"" said Hernandez Graham. But a last-minute personal matter brought him into town and he remembered a social media post about ""Tacos for a Cause."" ""We were on our way up here, and I thought today is the taco benefit today too, so I thought we'd do both at once,"" said Hernandez Graham. Que Rico is trying to cover the $5,000 in damage and thousands more in alcohol lost during a break-in on April 29. Video from the most recent break-in shows the suspects moving around the back room and then disabling a camera. Hernandez Graham worries this bar continues to be targets because it is the only LGBTQ Latin Club in Northern California. ""There are people that have walked around their whole lives with a target on their back. All we can do is protect them, all we can do is support them, and when they fall, pick them up,"" explained Hernandez Graham. Que Rico Owner Valentino Carrillo said it is the 11th time his business has been broken into, and it only opened in 2021. ""Over four years that we've been broken into during that time, I estimate we lost over $100,000,"" said Carrillo. He said it's starting to impact every part of the business. ""It definitely affects staff morale, salaries, upgrades we want to do to the bar, community events that we do,"" Carrillo detailed. A long-term lease at their downtown location near Franklin and 15th street means the business can't just move. ""It's very frustrating, there's very little we can do,"" explained Carrillo. ""We've fortified the place, we make a lot of changes but every time they figure out a way to keep coming."" But customers like Hernandez Graham keep coming too. They plan to keep supporting to help offset the costs of the break-ins and hopefully find a solution. ""If we don't, they close down,"" said Hernandez Graham about why he will continue to support this business and ones like it.","May 6, 2025 / 11:47 PM PDT / CBS San Francisco",N/A
