headline,article_title,article_url,article_content
Lady Gaga says she was unaware of thwarted bomb threat until learning about it from media,"Unidentified people were “virtually recruiting participants to carry out attacks” to gain online notoriety, according to the Rio de Janeiro Civil Police.",https://www.nbcnews.com/pop-culture/pop-culture-news/planned-bombing-lady-gaga-rio-de-janiero-rcna204698,"A planned bombing at a Lady Gaga concert in Brazil on Saturday night was foiled and a suspect is in custody, Brazilian authorities said. Unidentified people were “virtually recruiting participants to carry out attacks” using improvised explosive devices, the Rio de Janeiro Civil Police said. The perpetrators planned to gain notoriety on social networks through the bombing, authorities said. The person accused of being responsible for the plan is in custody, and a teenager has been detained in connection with the matter, police said. Brazil's Ministry of Justice and Public Security alleged in a statement that the plot was organized by a larger extremist network that operates online to radicalize adolescents and provoke hate crimes. It's unclear when authorities found out about the threat. The civil police intelligence unit was first alerted to the scheme, and search and seizure warrants were obtained for multiple areas in Brazil, police said. A spokesperson for Lady Gaga said her team learned about the alleged threat through media reports Sunday morning. “Prior to and during the show, there were no known safety concerns, nor any communication from the police or authorities to Lady Gaga regarding any potential risks,” the spokesperson said. “Her team worked closely with law enforcement throughout the planning and execution of the concert and all parties were confident in the safety measures in place.” Lady Gaga singer posted about the show on her Instagram account Sunday, praising the crowd for their vibrancy throughout it. ""I wish I could share this feeling with the whole world—I know I can’t, but I can say this—if you lose your way, you can find your way back if you believe in yourself and work hard,"" Gaga wrote. She did not address the alleged bombing threat. Lady Gaga played at the famed Copacabana venue as part of her new “Mayhem” tour. She announced the show in February on Instagram, saying she was excited to return after having had to cancel her last show in Brazil because of a hip injury during her “Born This Way Ball” tour. She added that she was “dying to come perform” for her Brazilian “little monsters,” which is the nickname for Lady Gaga fans. The free concert Saturday was attended by 2.5 million people, according to concert organizers. It is the largest attendance for a female artist, the organizers said, beating Madonna's draw of 1.6 million people at the Copacabana Beach last year. It falls shy of the Guinness World Record for the largest free concert, which was also at the beach venue. Rod Stewart's performance at the Copacabana in 1994 for New Year's Eve brought in an estimated 3.5 million revelers. Rio’s security plan included 3,300 military and 1,500 police officers and 400 military firefighters. The show was supported by the local government in hope of boosting economic activity between big events in Rio, such as Carnival and next month's Saint John’s Day celebrations. More than 500,000 tourists flocked to the city to see Lady Gaga, Rio’s City Hall said in a statement on Friday. Taylor Swift was forced to cancel her shows in Vienna because of a security threat less than a year ago. Austrian authorities said they were alerted to plans to bomb Swift's Eras Tour performances in the city in a terrorism-related attack. Swift opted to cancel the concerts and waited until the end of her European leg of the tour. “Having our Vienna shows cancelled was devastating,” Swift said weeks later. “The reason for the cancellations filled me with a new sense of fear, and a tremendous amount of guilt because so many people had planned on coming to those shows.” Swift had expressed anxiety about keeping people safe during her live performances, citing the 2017 bombing at Ariana Grande's concert in Manchester, England, and the 2017 music festival shooting in Las Vegas. Doha Madani is a senior breaking news reporter for NBC News. Pronouns: she/her. Tangni Noriega is an assignment editor for NBC News."
"Ruth Buzzi, comedy sketch player on groundbreaking series 'Laugh-In,' dies at 88",Buzzi rose to fame as the frumpy and bitter Gladys Ormphby on the groundbreaking sketch comedy series “Rowan & Martin’s Laugh-In.”,https://www.nbcnews.com/pop-culture/pop-culture-news/ruth-buzzi-comedy-sketch-player-groundbreaking-series-laugh-dies-88-rcna204459,"LOS ANGELES — Ruth Buzzi, who rose to fame as the frumpy and bitter Gladys Ormphby on the groundbreaking sketch comedy series “Rowan & Martin’s Laugh-In” and made over 200 television appearances during a 45-year career, has died at age 88. Buzzi died Thursday at her home in Texas, says her agent Mike Eisenstadt. She had been diagnosed with Alzheimer’s and was in hospice care. Shortly before her death, her husband, Kent Perkins, had posted a statement on Buzzi’s Facebook page, thanking her many fans and telling them: “She wants you to know she probably had more fun doing those shows than you had watching them.” Buzzi won a Golden Globe and was a two-time Emmy nominee for the NBC show that ran from 1968 to 1973. She was the only regular to appear in all six seasons, including the pilot. She was first spotted by “Laugh-In” creator and producer George Schlatter playing various characters on “The Steve Allen Comedy Hour.” Schlatter was holding auditions for “Laugh-In” when he received a picture in the mail of Buzzi in her Ormphby costume, sitting in a wire mesh trash barrel. The character was clad in drab brown with her bun covered by a hairnet knotted in the middle of her forehead. “I think I hired her because of my passion for Gladys Ormphby,” he wrote in his 2023 memoir “Still Laughing A Life in Comedy.” “I must admit that the hairnet and the rolled-down stockings did light my fire. My favorite Gladys line was when she announced that the day of the office Christmas party, they sent her home early.” The Gladys character used her purse as a weapon against anyone who bothered her, striking people over the head. On “Laugh-In,” her most frequent target was Arte Johnson’s dirty old man character Tyrone F. Horneigh. “Gladys embodies the overlooked, the downtrodden, the taken for granted, the struggler,” Buzzi told The Connecticut Post in 2018. “So when she fights back, she speaks for everyone who’s been marginalized, reduced to a sex object or otherwise abused. And that’s almost everyone at some time or other.” Buzzi took her act to the Dean Martin Celebrity Roasts in Las Vegas, where she bashed her purse on the heads of Frank Sinatra, Dean Martin and Lucille Ball, among others. Her other recurring characters on “Laugh-In” included Flicker Farkle; Busy-Buzzi, a Hollywood gossip columnist; Doris Swizzler, a cocktail-lounge regular who got drunk with husband Leonard, played by Dick Martin; and an inconsiderate flight attendant. “I never took my work for granted, nor assumed I deserved more of the credit or spotlight or more pay than anyone else,” Buzzi told The Connecticut Post. “I was just thrilled to drive down the hill to NBC every day as an employed actor with a job to do.” Buzzi remained friends through the years with “Laugh-In” co-stars Lily Tomlin and Jo Anne Worley. Born Ruth Ann Buzzi on July 24, 1936, in Westerly, Rhode Island, she was the daughter of Angelo Buzzi, a nationally known stone sculptor. Her father and later her brother operated Buzzi Memorials, a gravestone and monument maker in Stonington, Connecticut, where she was head cheerleader in high school. Buzzi enrolled at the Pasadena Playhouse at age 17. Two years later, she traveled with singer Rudy Vallee in a musical and comedy act during her summer break. That earned her an Actors’ Equity union card before she graduated from the playhouse’s College of Theatre Arts. Buzzi moved to New York and was immediately hired for a lead role in an off-Broadway musical revue, the first of 19 such shows she performed in on the East Coast. She got her national television break on “The Garry Moore Show” in 1964, just after Carol Burnett was replaced by Dorothy Loudon on the series. She played Shakundala the Silent, a bumbling magician’s assistant to Dom DeLuise’s character Dominic the Great. Buzzi was a regular on the CBS variety show “The Entertainers” whose hosts included Burnett and Bob Newhart. She was in the original Broadway cast of “Sweet Charity” with Gwen Verdon in 1966. Buzzi toured the country with her nightclub act, including appearances in Las Vegas. She was a semi-regular on “That Girl” as Marlo Thomas’ friend. She co-starred with Jim Nabors as time-traveling androids on “The Lost Saucer” in the mid-1970s. Her other guest appearances included variety shows hosted by Burnett, Flip Wilson, Glen Campbell, Tony Orlando, Donny and Marie Osmond and Leslie Uggams. She appeared in Ball’s last comedy series “Life With Lucy.” Buzzi guested in music videos with “Weird Al” Yankovic, the B-52’s and the Presidents of the United States of America. She did hundreds of guest voices in cartoon series including “Pound Puppies,” “Berenstain Bears,” “The Smurfs” and “The Angry Beavers.” She was Emmy nominated for her six-year run as shopkeeper Ruthie on “Sesame Street.” Her movie credits included “Freaky Friday,” “Chu Chu and the Philly Flash,” “The North Avenue Irregulars” and “The Apple Dumpling Gang Rides Again.” Buzzi was active on social media and had thousands of followers whom she rewarded with such one-liners as “I have never faked a sarcasm” and “Scientists say the universe is made up entirely of neurons, protons and electrons. They seem to have missed morons.” She married actor Kent Perkins in 1978. The couple moved from California to Texas in 2003 and bought a 640-acre ranch near Stephenville. Buzzi retired from acting in 2021 and suffered a series of strokes the following year. Her husband told The Dallas Morning News in 2023 that she had dementia."
Blake Lively said past year filled with 'lowest lows' of her life amid legal battle with Justin Baldoni,"The “Another Simple Favor” star talked about her ""intense"" year during a recent Seth Meyers appearance.",https://www.nbcnews.com/pop-culture/pop-culture-news/blake-lively-said-year-filled-lowest-lows-life-legal-battle-justin-bal-rcna204438,"Blake Lively is speaking out about what she’s going through. The “Another Simple Favor” star made an appearance on the May 1 episode of “Late Night With Seth Meyers” and spoke about the highs and lows she’d experienced. Host Seth Meyers first mentioned to Lively that he was “not totally informed” about the details of what she said was an “intense” year. “I’m thrilled you’re not doing ‘Weekend Update’ right now, because you’d be totally informed,” Lively joked. Meyers followed with a prompt to see what Lively was willing to share. “But were I to ask you about it I’d imagine you’re in a situation where you can’t say much,” he said. Lively characterized using her “voice” as a fight to “make the world safer for women in girls.” “What I can say without going too into it is that this year has been full of the highest highs and the lowest lows of my life. I see so many women around afraid to speak, afraid to share their experiences. Fear is by design. It’s what keeps us silent,"" she said. ""I acknowledge that many people don’t have the opportunity to speak,"" Lively continued. ""I feel fortunate that I have been able to. It’s the women who have had the ability to use their voice that have kept me strong and have helped me in my fight to make the world safer for women and girls. It’s a pretty simple thing,” she said. Following her comments, Lively received a round of applause from the audience. It should be noted that Lively or Meyers made no specific mention of her legal case involving Justin Baldoni and their film “It Ends With Us.” Back in January, a New York judge announced that both Lively and Baldoni’s lawsuits against each other would be addressed in a trial set for March 9, 2026. Lively starred and produced “It Ends With Us,” while Baldoni directed and co-starred. The film premiered in August 2024, yet before its release, people began speculating that there was tension between the cast. By December 2024, Lively filed a sexual harassment complaint against Baldoni, with her attorneys stating that, in multiple incidents, Baldoni harassed Lively on set and crossed boundaries during intimate scenes, according to an administrative complaint filed Dec. 20, 2024 and obtained by TODAY.com. Attorneys for Baldoni denied the accusations at the time. On Dec. 31, Baldoni sued the New York Times for libel, seeking $250 million in damages, over the newspaper’s coverage of Lively’s accusations of sexual harassment and being the target of a smear campaign. Also on Dec. 31, Lively filed a lawsuit against Baldoni, his production company Wayfarer Studios, producer Jamey Heath, Baldoni’s publicist Jennifer Abel, crisis publicist Melissa Nathan and others connected to Baldoni and “It Ends With Us,” in which her legal team argued she had been a victim of sexual harassment and a smear campaign, according to court documents obtained by NBC News. In response, in January 2025, Baldoni sued Lively, accusing her, her husband Ryan Reynolds, publicist Leslie Sloane and Sloane’s PR firm of defamation and other contractual claims. In a statement to NBC News in Jan. 16, 2025, Lively’s legal team said the lawsuit was “another chapter in the abuser playbook,” denying the allegations. Baldoni and his team would go on to create a website about the lawsuit against Lively, filled with their complaint and alleged emails and texts from those involved in the creation of “It Ends With Us.” Lively’s By February, the judge overseeing their trial didn’t restrict what their attorneys could say publicly but he did issue a warning about public comments, according to NBC News. Later that month, Lively amended her original complaint, alleging that other women had complained about Baldoni’s misconduct, as well as added a new claim for defamation. Attorneys for Baldoni did not immediately respond to a request for comment from NBC News about Lively’s amended complaint at the time."
"Singer Jill Sobule, known for 'I Kissed a Girl,' dies in house fire",Sobule was 66. The 1995 song was the first openly queer-themed record to reach Billboard’s Top 20.,https://www.nbcnews.com/pop-culture/music/jill-sobule-kissed-girl-dies-fire-rcna204334,"Singer Jill Sobule, known for the 1995 song “I Kissed a Girl,” died in a Minnesota house fire Thursday morning, her representatives said. She was 66. The fire occurred in Woodbury, a city around 16 miles east of Minneapolis, they said. Officials there said firefighters discovered a dead woman after a house fire that was reported around 5:30 a.m. Thursday. “Jill Sobule was a force of nature and human rights advocate whose music is woven into our culture,” manager John Porter said in a statement. ""I Kissed a Girl” reached No. 20 on Billboard’s modern rock chart, the first openly queer-themed record to do so. Sobule’s song “Supermodel” from the “Clueless” soundtrack was also a pop success. Sobule most recently created a coming-of-age musical, ""F--- 7th Grade,"" an off-Broadway show that debuted in 2022. It was a Drama Desk nominee for ""outstanding musical"" the next year and was named a New York Times Critic Pick. Sobule had been scheduled to perform Friday in Denver at Swallow Hill, where an informal gathering will now be held to remember her, instead, her reps said. In 2008, Katy Perry released “I Kissed a Girl,” which was not a cover of Sobule's song. After Sobule made comments that she said were deliberately over the top and ironic, she was targeted by Perry fans who took the comments seriously. “I may be a touch cynical about the business, but I have never really been angry or had ill feelings towards Katy herself,” Sobule wrote on what was then known as The Huffington Post. “I was actually in a small way happy to not be the ‘Kissed a Girl’ girl anymore.” She said she hoped Perry fans were “okay with the title of my brand new song, ‘I Kissed a Girl ...First,’” she wrote, adding “Wink.” Sobule is survived by her brother and sister-in-law, James and Mary Ellen Sobule, and her nephews, Ian Matthew and Robert, and Robert’s wife, Irina, her reps said. Phil Helsel is a reporter for NBC News."
Video shows Justin Timberlake becoming Travis Kelce's 'backup dancer' on the golf course,"Timberlake posted a clip of the impromptu performance, with comedian Andrew Santino also joining in.",https://www.nbcnews.com/pop-culture/pop-culture-news/video-shows-justin-timberlake-becoming-travis-kelces-backup-dancer-gol-rcna204103,"Boy band veteran Justin Timberlake brought his choreography skills to the golf course with Kansas City Chiefs tight end Travis Kelce and comedian Andrew Santino in a video posted to Instagram on Wednesday. But Kelce was the one to take center stage on the Las Vegas green, with Timberlake and Santino as his impromptu backup dancers. Timberlake shared a video of the lighthearted moment on his Instagram with the caption, ""We are just @killatrav's backup dancers now."" Timberlake kicks it off in the video by saying, ""Real easy vibe today,"" swaying back and forth as he moves into formation to let Kelce take the lead. Kelce starts lip-synching to the 1984 hit ""Curious"" by Midnight Star, using his golf club as a microphone. Timberlake and Santino join in behind, stepping from left to right, following the tune's beat and Kelce up front. Kelce then breaks off into a spin and breaks out into laughter with Timberlake. ""The vibes were unmatched!!"" Kelce commented on the post. Santino also commented on his moves, saying, ""The tequila had me leaning 😂."" Kelce shared the video on his Instagram story, writing ""Vibin' out with the homies"" and tagging Santino, Timberlake and the singer's golf brand, 8AM Golf. Travis Kelce and his brother, former Philadelphia Eagles center Jason Kelce, attended the 8AM Invitational at Wynn Las Vegas, hosted by Timberlake from April 24-27. Timberlake personally selects the celebrity lineup for the weekend of ""golf, entertainment and philanthropy,"" according to its website. Viola Flowers is a news associate for NBC News."
George Lucas finally explains why Yoda speaks backward in ‘Star Wars’ films,His style of speech is intentional.,https://www.nbcnews.com/pop-culture/pop-culture-news/george-lucas-explains-why-yoda-speaks-backwards-star-wars-films-rcna203784,"Know now do we why speaks that way does Yoda. “Star Wars” creator George Lucas is peeling back the curtain on why Yoda speaks backwards in the film franchise. “Yoda had a very distinctive way of talking, and it was done purposely because if you were speaking regular English, people don’t listen that much, but if he has an accent, or it’s really hard to understand what he’s saying, they focus on what he’s saying,” he told Turner Classic Movies host Ben Mankiewicz last week during a screening of “The Empire Strikes Back” at the TCM Classic Film Festival. “He was basically the philosopher of the movie, so he was talking about all of the things in long talking scenes and stuff where I had to figure out a way to get people to actually listen, especially 12-year-olds.” Yoda is known for his wisdom, with such lines as “Try not. Do or do not. There is no try,” “The greatest teacher, failure is” and “Much to learn, you still have.” Yoda’s first appearance in the “Star Wars” franchise came in 1980 in “The Empire Strikes Back.” The character was voiced by Frank Oz, who also provided it for “Return of the Jedi,” the prequel trilogy and “The Last Jedi.” He and other actors have also voiced Yoda in various related “Star Wars” projects over the years. Oz said he came up with Yoda’s unusual speaking style before getting Lucas’ blessing to do it. “I was just looking at the original script of ‘The Empire Strikes Back’ the other day and there was a bit of that odd syntax in it, but also it had Yoda speaking very colloquially,” he told The Guardian in 2021. “So I said to George (Lucas): ‘Can I do the whole thing like this?’ And he said: ‘Sure!’ It just felt so right.” Oz also said he doesn’t get tired of people doing impressions of Yoda, either. “No I’m used to it. But people don’t understand, anyone can do a voice. It’s not the voice — it’s the soul,” he said. A new “Star Wars” film is due out in 2027. Earlier this month, the movie’s director, Shawn Levy, revealed that Ryan Gosling will star in it."
Barbra Streisand is releasing a new album of duets. Here’s the list of stars who will appear.,Some top-notch talent appears on the album of duets — as well as a trio fans probably won’t soon forget.,https://www.nbcnews.com/pop-culture/pop-culture-news/barbra-streisand-releasing-new-album-duets-stars-rcna203783,"Barbra Streisand is set to release a new album that will feature some legendary stars. Announced on ""TODAY"" April 30, Streisand’s forthcoming album, titled “The Secret Of Life: Partners, Volume Two,” will release on June 27 and feature the 10-time Grammy Award winner performing duets with a star-studded collection of artists, including Paul McCartney, Bob Dylan, James Taylor, Sting, Hozier, Sam Smith, Seal, Josh Groban and Tim McGraw. In addition, there’s one track in which Streisand sings with Mariah Carey and Ariana Grande. This album marks the sequel to Streisand’s 2014 platinum effort, “Partners.” The first single from her upcoming album is “The First Time Ever I Saw Your Face” with Hozier, and is available globally now on all digital and streaming platforms. There is also a lyric video for the song. Streisand said she’s excited about this new project. “I’ve always loved singing duets with gifted artists. They inspire me in unique and different ways…and make our time in the studio a joy!” she said in a statement. “My new album, ‘The Secret Of Life: Partners, Volume Two,’ gave me the chance to work and play with some of my old friends, label mates, and new artists too,” the statement continued. “I admire all of them … and I hope that you’ll enjoy listening to our collaborations as much as I enjoyed recording with all of my wonderful partners.” “The Secret Of Life: Partners, Volume Two” adds to Streisand’s legacy when it comes to duets. She has recorded songs with a legendary roster of A-list artists during her decorated career, having teamed up with such acts as Judy Garland, Neil Diamond, Barry Gibb, Kris Kristofferson, Donna Summer, Bryan Adams and Celine Dion, among others. Here’s a look at the track listing for “The Secret Of Life: Partners, Volume Two”:"
King Charles opens up about cancer diagnosis and treatment,"The British monarch, who was diagnosed with cancer in February 2024, has kept the details of his disease private.",https://www.nbcnews.com/world/united-kingdom/king-charles-opens-cancer-diagnosis-treatment-rcna203812,"LONDON — King Charles III opened up Wednesday about the lessons he has learned from his cancer diagnosis and treatment, an experience that he said ""brings into sharp focus the very best of humanity."" Speaking at a Buckingham Palace celebration of community-based initiatives raising cancer awareness and supporting those living with the disease, Charles said that ""each diagnosis, each new case, will be a daunting and at times frightening experience for those individuals and their loved ones."" ""It has certainly given me an even deeper appreciation of the extraordinary work undertaken by the remarkable organizations and individuals gathered here this evening, many of whom I have known, visited and supported over the years,"" he said. ""And it has reinforced what I have long observed during these visits — that the darkest moments of illness can be illuminated by the greatest compassion."" Charles thanked the health care professionals providing cancer treatment, saying that ""they have my whole family’s deepest admiration and gratitude"" and that their care ""represents the very best our country can offer."" ""What strikes us repeatedly is the profound impact of human connection — whether in the careful explanation from a specialist nurse, the hand held by a hospice volunteer or the shared experience in a support group,"" he said. ""These moments of kinship create what I might call a 'community of care,' one that sustains patients through the most difficult of times."" Charles was diagnosed with cancer in February 2024. He has kept much of his dealings with the disease, including what type of cancer he has or the stage of the disease, private. Most recently, he was hospitalized last month because of side effects from his treatment, according to Buckingham Palace. Charles was diagnosed last year just weeks before news that Princess Kate, 43, was undergoing ""preventative chemotherapy,"" piling on to shock waves about the British monarchy around the world. About 20 million cancer cases were newly diagnosed, and 9.7 million people died from the disease worldwide in 2022, according to the most recent global statistics from the American Cancer Society. Charles concluded the speech and left listeners with a quotation from Dame Deborah James, a British journalist, podcaster and educator who died of bowel cancer in 2022 and whose parents were at the event. ""'Find a life worth enjoying, take risks, love deeply, have no regrets, and always, always have rebellious hope,'"" he said. David Hodari reported from London and Matt Lavietes from New York. David Hodari is a London-based editor. Matt Lavietes is a reporter for NBC News."
Robert De Niro's daughter Airyn comes out as transgender,"The 29-year-old spoke to Them, an LGBTQ magazine, about starting hormone therapy and finally embracing her femininity.",https://www.nbcnews.com/nbc-out/out-news/robert-de-niro-daughter-airyn-transgender-rcna203775,"Airyn De Niro, daughter of Oscar-winning actor Robert De Niro, opened up about starting hormone therapy and coming out as transgender in an interview published Tuesday. De Niro, 29, spoke to Them, an LGBTQ magazine owned by Condé Nast, about feeling she was out of place. De Niro, whose mother is Toukie Smith, described herself as a ""late bloomer"" who failed to fit in with societal standards growing up. ""I was always told I was too much of something or not enough of something growing up: Too big, not skinny enough,"" she told the magazine. ""Not Black enough, not white enough. Too feminine, not masculine enough. It was never just, ‘You’re just right, just the way you are.’” She credited the stories of openly transgender women — including Laverne Cox and queer activist Marsha P. Johnson — with inspiring her to embrace her femininity last year. ""Trans women being honest and open, especially [in] public spaces like social media and getting to see them in their success ... I’m like, you know what? Maybe it’s not too late for me,” she said. She added that as she has embraced her gender identity, she has also been influenced by Black women and has been able to embrace her Black ancestry. One of the first outward expressions of her gender identity, she said, was deciding to get dreadlocks after she saw Halle Bailey in the 2023 live-action film ""The Little Mermaid."" Despite being the child of two actors, De Niro credited her parents for doing their best to shield her from the public eye throughout her childhood. Her father was also insistent that she forge her own career path, she said. She expressed her gratitude for that upbringing while also saying she wants to be public now to give others someone to aspire to. And in a time when civil rights for transgender people are being targeted, she said she is studying to be a mental health counselor to aid the community. ""People of color and queer people definitely need more mental health advocacy and support,"" she said. ""So I’m hoping I’m able to do that."" Doha Madani is a senior breaking news reporter for NBC News. Pronouns: she/her."
Christie Brinkley recalls Billy Joel’s 7-word response to her writing a memoir,The model and author of “Uptown Girl” opens up about her marriage to the iconic musician.,https://www.nbcnews.com/pop-culture/pop-culture-news/christie-brinkley-memoir-billy-joel-marriage-rcna203780,"Christie Brinkley, one of the most recognizable faces in modeling, offers a revealing glimpse into the challenges of being one of the world’s original supermodels in her new memoir, “Uptown Girl.” Gracing the cover of more than 500 magazines and appearing in memorable movies like the 1983 hit film, “National Lampoon’s Vacation,” Brinkley’s career spans five decades, and she delves into much of it in her new book. “I just want to tell some stories,” Brinkley tells TODAY.com in a sit-down interview. “I hope it’ll be a nice diversion in a world that can use a good book every now and then, take you away on a little adventure.” From being discovered at a payphone in Paris to being kicked out of Frank Sinatra’s hotel room, “Uptown Girl” offers insight behind Brinkley’s upbringing in Southern California and her ascent to the top of the modeling world. The book also explores her four marriages (and divorces), including 11 years she spent with Billy Joel. It’s the music legend who penned “Uptown Girl,” the song that inspired the memoir’s title, which has become Brinkley’s enduring nickname — in spite of the fact that, according to the supermodel, it wasn’t initially written for her. Brinkley writes in her memoir that it started out as a song for a “mystery girl” Joel had been having phone conversations with, but when his relationship with Brinkley began, he finished it in her honor. Their relationship was then immortalized in the hit song’s iconic music video, in which Brinkley appears in. In “Uptown Girl,” Brinkley, 71, opens up about her various heartbreaks, difficult early childhood with an abusive father and the helicopter accident that almost claimed her life in 1994. However, the model says that opening up about her marriage to Joel was the most difficult part of penning the memoir. “The hardest thing to include was criticism of Billy, because I do care about my friendship with him,” she says of the chapters that reveal Joel’s heavy drinking and suggested affairs, which has been making headlines since her book came out. “In the book, I feel like I balanced, very much, about how happy we were and how joy-filled our days were,” she says of their marriage. “It was literally dancing in the kitchen as we cooked, singing together, and making each other laugh. It was a beautiful, wonderful relationship.” According to the memoir, that relationship became strained, in part, after Joel sued Frank Weber, his former manager, for having allegedly siphoned off his profits. It was a betrayal that Brinkley writes left Joel “withdrawn and stressed” as singer-songwriter felt immense pressure to recoup his financial loss. “He was going through extraordinary circumstances in his life, things most people wouldn’t ever have to deal with,” she describes. Despite the vulnerable nature of the admissions, Brinkley says they were important to include in the memoir. “I did have to go there because that was the reality.” Brinkley tells TODAY.com that Joel had given his blessing to talk candidly about the ups and downs of their longtime relationship. “He said, ‘Just say what you need to say,’” Brinkley recalls. “And I think that’s part of his healing, so I applaud him for all of that. It takes a lot of courage.” The new memoir reveals some darker times in their relationship, including instances of Brinkley waking up in the middle of the night to discover Joel was missing, then him returning home in the wee hours of the morning after being out drinking all night. She also writes about the growing distance in their marriage that ultimately left her feeling “lonely, despite the fact that he was right there.” It was a loneliness so pervasive that Brinkley was thinking about Joel as she boarded a helicopter in Colorado, shortly after their separation in 1994, and wondered if the crooner would be worried about her embarking on a trip to go heli-skiing. “For a moment I thought about my husband, Billy, whom I’d split with again, and hoping this trip to Telluride would wake him up to the reality that he might actually lose me,” she writes. What she didn’t know was that shortly after, the helicopter would crash into the San Juan mountains, leaving Brinkley and several companions temporarily stranded until they were rescued. Though Joel ultimately flew to her side and jetted her back to Long Island aboard a private plane, her dream of their reunion was dashed when she overheard him on the phone saying to an unknown caller, ‘No, don’t worry. I’m not going back to her. I just need to see her through this.’” The revelation brought home the fact that their marriage was over. Two weeks later, they announced their divorce and as she penned in her memoir, “the dream broke apart like debris.” Despite their divorce, Brinkley tells TODAY.com that they still remain friends. “He’s a very loyal guy. He’s loyal to his friends, he’s generous. He just had a lot of stresses on him at the point when we were together and it just kind of came crashing down on us.” Outside of her marriage, the helicopter crash changed her life in other ways. “I went through a phase of post-traumatic stress disorder,” she says of the accident that left her clinging to the side of a mountain amid a pile of helicopter wreckage. “One of the hallmarks is bad decision-making. And I made quite a few, which I lay out in the book and that chapter was hard to write just because I didn’t want to think about any of (the helicopter crash). I didn’t want to go back to that place. At the time when it happened, I actually thought it was so awful, I wanted to purge it from my body and from my memory banks.” While she’s endured her fair share of trauma, Brinkley remains the eternal optimist, both in love and life. “I was raised in a very positive household, so I was raised to be grateful and counting my blessings and to know the good things that I have, no matter what,” she says. Among those blessings are Brinkley’s three children: Alexa Ray Joel, 39, her daughter with Joel, as well as her son, Jack Brinkley-Cook, 29, and other daughter, Sailor Brinkley-Cook, 26, both of whom she shares with her ex-husband Peter Cook. While appearing on the April 28 episode of ""TODAY,"" Brinkley shared that out of her three children, her oldest daughter is the one who’s read most of her memoir and that she loves it. “She was kind of blown away by it,” said Brinkley. As for the other two, the model joked that her younger children “skimmed through” it and said, “We know her!” but otherwise, “I don’t think they understand the reason to read it.” Though Brinkley has released two other books, including a 1983 fitness book and “Timeless Beauty,” a wellness guide published in 2015, “Uptown Girl” is her first memoir, and she wants readers to take something positive away from her experiences. “I just really hope people understand that the book is much more than rehashing divorces,” she explains, referring to her other marriages to Jean-Francois Allaux, Richard Taubman and Cook, all of which ended in divorce. “This is not a revenge novel. It’s filled with joy and when there are bad moments, it’s sort of how to keep going and not let them pull you down,” she says. “And how to stay positive and maybe learn something from it or let it propel you into someplace that you didn’t dare go before.”"
